office,year,month,consumption
5,2020,12,475440
5,2021,1,956556
5,2021,2,868909
5,2021,3,590501
5,2021,4,256399
5,2021,5,18381
5,2021,6,387982
5,2021,7,259175
5,2021,8,562353
5,2021,9,816837
5,2021,10,781291
5,2021,11,631391
5,2021,12,975790
5,2022,1,617582
5,2022,2,912439
5,2022,3,84166
5,2022,4,581427
5,2022,5,189366
5,2022,6,440830
5,2022,7,347383
5,2022,8,730790
5,2022,9,904205
5,2022,10,734624
5,2022,11,970025
5,2022,12,922176
5,2023,1,937646
5,2023,2,528240
5,2023,3,305830
5,2023,4,388715
5,2023,5,893651
5,2023,6,917868
5,2023,7,886818
5,2023,8,292531
5,2023,9,96589
5,2023,10,164585
5,2023,11,100150
5,2023,12,814653
6,2019,1,5525094
6,2019,2,8592503
6,2019,3,717210
6,2019,4,9090071
6,2019,5,9592496
6,2019,6,500032
6,2019,7,6292056
6,2019,8,7742774
6,2019,9,9385207
6,2019,10,1048452
6,2019,11,5211441
6,2019,12,6878828
6,2020,1,7250401
6,2020,2,2800395
6,2020,3,7928954
6,2020,4,7930612
6,2020,5,1789353
6,2020,6,3853550
6,2020,7,160683
6,2020,8,3131623
6,2020,9,1101789
6,2020,10,1462073
6,2020,11,7660151
6,2020,12,712149
6,2021,1,4690395
6,2021,2,3526222
6,2021,3,5060993
6,2021,4,1843182
6,2021,5,8737686
6,2021,6,7624259
6,2021,7,4054371
6,2021,8,1113601
6,2021,9,6243098
6,2021,10,6664097
6,2021,11,216533
6,2021,12,5807972
6,2022,1,516141
6,2022,2,385696
6,2022,3,3773963
6,2022,4,357211
6,2022,5,1908695
6,2022,6,2881732
6,2022,7,9029556
6,2022,8,7368751
6,2022,9,977055
6,2022,10,3436932
6,2022,11,6480344
6,2022,12,439582
6,2023,1,798988
6,2023,2,7940716
6,2023,3,5817583
6,2023,4,2076187
6,2023,5,9929016
6,2023,6,5618048
6,2023,7,1495138
6,2023,8,4804138
6,2023,9,9814278
6,2023,10,9847219
6,2023,11,1607790
6,2023,12,9015130
7,2019,1,3350011
7,2019,2,2403109
7,2019,3,4693900
7,2019,4,5692560
7,2019,5,4307078
7,2019,6,3909442
7,2019,7,8071504
7,2019,8,7809467
7,2019,9,1504711
7,2019,10,3160703
7,2019,11,1804726
7,2019,12,6238560
7,2020,1,6389868
7,2020,2,4256975
7,2020,3,6106681
7,2020,4,7227690
7,2020,5,3719067
7,2020,6,5950524
7,2020,7,7583480
7,2020,8,2392478
7,2020,9,5805194
7,2020,10,6986174
7,2020,11,7729703
7,2020,12,1342673
7,2021,1,132633
7,2021,2,651557
7,2021,3,4797530
7,2021,4,6617642
7,2021,5,6214788
7,2021,6,3197249
7,2021,7,8137241
7,2021,8,1194077
7,2021,9,3641119
7,2021,10,5030071
7,2021,11,6470958
7,2021,12,8826682
7,2022,1,9925904
7,2022,2,6891131
7,2022,3,7561985
7,2022,4,9921298
7,2022,5,4951959
7,2022,6,8118049
7,2022,7,7647918
7,2022,8,4125386
7,2022,9,2233654
7,2022,10,6449258
7,2022,11,5675693
7,2022,12,3818873
7,2023,1,2789794
7,2023,2,5844950
7,2023,3,1968601
7,2023,4,1469102
7,2023,5,5837557
7,2023,6,869595
7,2023,7,4328468
7,2023,8,5345630
7,2023,9,6991417
7,2023,10,4347971
7,2023,11,6131705
7,2023,12,2114796
8,2019,1,424091
8,2019,2,976345
8,2019,3,14684
8,2019,4,655090
8,2019,5,523466
8,2019,6,453698
8,2019,7,525778
8,2019,8,515414
8,2019,9,789876
8,2019,10,718598
8,2019,11,935495
8,2019,12,106850
8,2020,1,745357
8,2020,2,839533
8,2020,3,861576
8,2020,4,551123
8,2020,5,435793
8,2020,6,348099
8,2020,7,721938
8,2020,8,83008
8,2020,9,442295
8,2020,10,904990
8,2020,11,243353
8,2020,12,704230
8,2021,1,840061
8,2021,2,251170
8,2021,3,564250
8,2021,4,654967
8,2021,5,274738
8,2021,6,345169
8,2021,7,63904
8,2021,8,207085
8,2021,9,766437
8,2021,10,511238
8,2021,11,920344
8,2021,12,941579
8,2022,1,884267
8,2022,2,698736
8,2022,3,83612
8,2022,4,492575
8,2022,5,72140
8,2022,6,100919
8,2022,7,446243
8,2022,8,225237
8,2022,9,86590
8,2022,10,845292
8,2022,11,206304
8,2022,12,190213
8,2023,1,26806
8,2023,2,349241
8,2023,3,543774
8,2023,4,160810
8,2023,5,542447
8,2023,6,635389
8,2023,7,735033
8,2023,8,718589
8,2023,9,842797
8,2023,10,738301
8,2023,11,216091
8,2023,12,970766
9,2019,1,782288
9,2019,2,86330
9,2019,3,611058
9,2019,4,429650
9,2019,5,710218
9,2019,6,107409
9,2019,7,756207
9,2019,8,942085
9,2019,9,721064
9,2019,10,407491
9,2019,11,224341
9,2019,12,751570
9,2020,1,709175
9,2020,2,724786
9,2020,3,289905
9,2020,4,875373
9,2020,5,731536
9,2020,6,499536
9,2020,7,185991
9,2020,8,492816
9,2020,9,86734
9,2020,10,498660
9,2020,11,889068
9,2020,12,659259
9,2021,1,895746
9,2021,2,63573
9,2021,3,822157
9,2021,4,764274
9,2021,5,658055
9,2021,6,326311
9,2021,7,860874
9,2021,8,236565
9,2021,9,104433
9,2021,10,419606
9,2021,11,718755
9,2021,12,660944
9,2022,1,197959
9,2022,2,510602
9,2022,3,864334
9,2022,4,861316
9,2022,5,292390
9,2022,6,560499
9,2022,7,277428
9,2022,8,650844
9,2022,9,970722
9,2022,10,384209
9,2022,11,491061
9,2022,12,580200
9,2023,1,94964
9,2023,2,12749
9,2023,3,187968
9,2023,4,132936
9,2023,5,597723
9,2023,6,74298
9,2023,7,742911
9,2023,8,528786
9,2023,9,45417
9,2023,10,365046
9,2023,11,490877
9,2023,12,771001
10,2019,1,790115
10,2019,2,871312
10,2019,3,42637
10,2019,4,487777
10,2019,5,574853
10,2019,6,216991
10,2019,7,738844
10,2019,8,593090
10,2019,9,236339
10,2019,10,168131
10,2019,11,206332
10,2019,12,957264
10,2020,1,300199
10,2020,2,53173
10,2020,3,736159
10,2020,4,914035
10,2020,5,881323
10,2020,6,224267
10,2020,7,442151
10,2020,8,857400
10,2020,9,861536
10,2020,10,445530
10,2020,11,71675
10,2020,12,91015
10,2021,1,636418
10,2021,2,779971
10,2021,3,445904
10,2021,4,382311
10,2021,5,579316
10,2021,6,658240
10,2021,7,949550
10,2021,8,468568
10,2021,9,381678
10,2021,10,985257
10,2021,11,838351
10,2021,12,711183
10,2022,1,391355
10,2022,2,797487
10,2022,3,170891
10,2022,4,900096
10,2022,5,16380
10,2022,6,474050
10,2022,7,35049
10,2022,8,320712
10,2022,9,198876
10,2022,10,130003
10,2022,11,38561
10,2022,12,793985
10,2023,1,845831
10,2023,2,562708
10,2023,3,95664
10,2023,4,265246
10,2023,5,653201
10,2023,6,773308
10,2023,7,311285
10,2023,8,143712
10,2023,9,484291
10,2023,10,799089
10,2023,11,6804
10,2023,12,703499
11,2019,1,607767
11,2019,2,168433
11,2019,3,73952
11,2019,4,536951
11,2019,5,861328
11,2019,6,135184
11,2019,7,48462
11,2019,8,294042
11,2019,9,358046
11,2019,10,278759
11,2019,11,236370
11,2019,12,706276
11,2020,1,105175
11,2020,2,396606
11,2020,3,466709
11,2020,4,614776
11,2020,5,384414
11,2020,6,796378
11,2020,7,824260
11,2020,8,425937
11,2020,9,168200
11,2020,10,244259
11,2020,11,423269
11,2020,12,994874
11,2021,1,314423
11,2021,2,291750
11,2021,3,657104
11,2021,4,784313
11,2021,5,824152
11,2021,6,812237
11,2021,7,70452
11,2021,8,86752
11,2021,9,545023
11,2021,10,403965
11,2021,11,967146
11,2021,12,564472
11,2022,1,153120
11,2022,2,579349
11,2022,3,540498
11,2022,4,489980
11,2022,5,63400
11,2022,6,666302
11,2022,7,762375
11,2022,8,387735
11,2022,9,451135
11,2022,10,633000
11,2022,11,725249
11,2022,12,198815
11,2023,1,139581
11,2023,2,566107
11,2023,3,85302
11,2023,4,296982
11,2023,5,695615
11,2023,6,686852
11,2023,7,593249
11,2023,8,524733
11,2023,9,415645
11,2023,10,332929
11,2023,11,130646
11,2023,12,673342
12,2019,1,60430313
12,2019,2,18013236
12,2019,3,78363993
12,2019,4,46251078
12,2019,5,13052922
12,2019,6,37296579
12,2019,7,22885002
12,2019,8,21128961
12,2019,9,75359229
12,2019,10,4591645
12,2019,11,10940784
12,2019,12,60327791
12,2020,1,3507277
12,2020,2,25284357
12,2020,3,40928606
12,2020,4,91688882
12,2020,5,96399003
12,2020,6,87260889
12,2020,7,3780928
12,2020,8,23596374
12,2020,9,79668026
12,2020,10,73216284
12,2020,11,2696234
12,2020,12,8931836
12,2021,1,33482086
12,2021,2,88218398
12,2021,3,46518522
12,2021,4,13197631
12,2021,5,39971127
12,2021,6,1315598
12,2021,7,1112045
12,2021,8,85229589
12,2021,9,18036645
12,2021,10,92651611
12,2021,11,90238119
12,2021,12,62093082
12,2022,1,46438703
12,2022,2,47879194
12,2022,3,8818268
12,2022,4,30301403
12,2022,5,67063332
12,2022,6,76269403
12,2022,7,18344030
12,2022,8,86274852
12,2022,9,21743452
12,2022,10,71093270
12,2022,11,16560529
12,2022,12,81076212
12,2023,1,11794666
12,2023,2,47530118
12,2023,3,87437134
12,2023,4,84823468
12,2023,5,68073846
12,2023,6,57724777
12,2023,7,99391426
12,2023,8,8373123
12,2023,9,28220403
12,2023,10,89923062
12,2023,11,94269969
12,2023,12,30371578
13,2019,1,25600035
13,2019,2,91631373
13,2019,3,41490340
13,2019,4,54234353
13,2019,5,1804044
13,2019,6,13924576
13,2019,7,27398267
13,2019,8,36102440
13,2019,9,69622030
13,2019,10,79088770
13,2019,11,19300072
13,2019,12,250004
13,2020,1,71430494
13,2020,2,20126770
13,2020,3,75662228
13,2020,4,93580693
13,2020,5,98697857
13,2020,6,92185131
13,2020,7,22329362
13,2020,8,93703917
13,2020,9,24238272
13,2020,10,95564495
13,2020,11,24289338
13,2020,12,59065714
13,2021,1,44819750
13,2021,2,48025681
13,2021,3,51296850
13,2021,4,73510746
13,2021,5,9783135
13,2021,6,52250792
13,2021,7,46420711
13,2021,8,9536289
13,2021,9,51391997
13,2021,10,72687758
13,2021,11,36685614
13,2021,12,86900900
13,2022,1,46212835
13,2022,2,6757698
13,2022,3,90616596
13,2022,4,98136161
13,2022,5,64524935
13,2022,6,11625961
13,2022,7,12313033
13,2022,8,19766065
13,2022,9,76463237
13,2022,10,13576515
13,2022,11,77748867
13,2022,12,37222844
13,2023,1,67961142
13,2023,2,56757555
13,2023,3,8189645
13,2023,4,78371131
13,2023,5,86220454
13,2023,6,36818958
13,2023,7,18489765
13,2023,8,68175768
13,2023,9,58055587
13,2023,10,87425512
13,2023,11,18137219
13,2023,12,34413981
14,2019,1,60683027
14,2019,2,77516963
14,2019,3,67416926
14,2019,4,32613875
14,2019,5,18637670
14,2019,6,63971750
14,2019,7,7605262
14,2019,8,9173233
14,2019,9,78586292
14,2019,10,60565500
14,2019,11,769127
14,2019,12,26956726
14,2020,1,22281508
14,2020,2,67317592
14,2020,3,13620025
14,2020,4,96711655
14,2020,5,14385196
14,2020,6,49814587
14,2020,7,91490034
14,2020,8,66255880
14,2020,9,3640172
14,2020,10,46633702
14,2020,11,55321437
14,2020,12,56023715
14,2021,1,85392482
14,2021,2,25497376
14,2021,3,8559205
14,2021,4,7392146
14,2021,5,54890515
14,2021,6,70426692
14,2021,7,70451054
14,2021,8,90795656
14,2021,9,86073396
14,2021,10,67347921
14,2021,11,67008598
14,2021,12,68306537
14,2022,1,3610448
14,2022,2,63916403
14,2022,3,17079395
14,2022,4,80625307
14,2022,5,24843970
14,2022,6,90921882
14,2022,7,17399488
14,2022,8,58526600
14,2022,9,55581962
14,2022,10,33254970
14,2022,11,72784870
14,2022,12,4340595
14,2023,1,57204450
14,2023,2,52530778
14,2023,3,91149437
14,2023,4,89439209
14,2023,5,46217909
14,2023,6,97021924
14,2023,7,84868293
14,2023,8,81122088
14,2023,9,14721966
14,2023,10,18908931
14,2023,11,26585855
14,2023,12,14844934
15,2019,1,9236789
15,2019,2,2840275
15,2019,3,9370570
15,2019,4,1073619
15,2019,5,4833896
15,2019,6,3210946
15,2019,7,7509032
15,2019,8,4820954
15,2019,9,7501424
15,2019,10,3005588
15,2019,11,4261576
15,2019,12,2735582
15,2020,1,7532461
15,2020,2,2436757
15,2020,3,6808269
15,2020,4,9852260
15,2020,5,1510476
15,2020,6,3823436
15,2020,7,6237984
15,2020,8,591304
15,2020,9,8171852
15,2020,10,1970844
15,2020,11,411809
15,2020,12,9118145
15,2021,1,3499982
15,2021,2,422858
15,2021,3,2731595
15,2021,4,2032866
15,2021,5,5966417
15,2021,6,3126808
15,2021,7,9036888
15,2021,8,18520
15,2021,9,4797077
15,2021,10,1576023
15,2021,11,826017
15,2021,12,3375247
15,2022,1,1288828
15,2022,2,8160792
15,2022,3,2433779
15,2022,4,6010186
15,2022,5,6978299
15,2022,6,2539222
15,2022,7,5826597
15,2022,8,1504099
15,2022,9,9376281
15,2022,10,2383890
15,2022,11,7759825
15,2022,12,8136257
15,2023,1,4735593
15,2023,2,6510737
15,2023,3,4845018
15,2023,4,772538
15,2023,5,6084909
15,2023,6,7664944
15,2023,7,3483104
15,2023,8,5109043
15,2023,9,6490399
15,2023,10,1265251
15,2023,11,2643866
15,2023,12,7085209
16,2019,1,994725
16,2019,2,507588
16,2019,3,550491
16,2019,4,910472
16,2019,5,196157
16,2019,6,633242
16,2019,7,312838
16,2019,8,207462
16,2019,9,961700
16,2019,10,780822
16,2019,11,37407
16,2019,12,291487
16,2020,1,189022
16,2020,2,992169
16,2020,3,41866
16,2020,4,436873
16,2020,5,364152
16,2020,6,977255
16,2020,7,780310
16,2020,8,683587
16,2020,9,30417
16,2020,10,980142
16,2020,11,743651
16,2020,12,280279
16,2021,1,473679
16,2021,2,442048
16,2021,3,458422
16,2021,4,361463
16,2021,5,434416
16,2021,6,631249
16,2021,7,557102
16,2021,8,485295
16,2021,9,362551
16,2021,10,210495
16,2021,11,247108
16,2021,12,281491
16,2022,1,127757
16,2022,2,669156
16,2022,3,528139
16,2022,4,466533
16,2022,5,902116
16,2022,6,868054
16,2022,7,837644
16,2022,8,366162
16,2022,9,707949
16,2022,10,13535
16,2022,11,998187
16,2022,12,912238
16,2023,1,593675
16,2023,2,579022
16,2023,3,764554
16,2023,4,921147
16,2023,5,664189
16,2023,6,780531
16,2023,7,253169
16,2023,8,123022
16,2023,9,410525
16,2023,10,207153
16,2023,11,201195
16,2023,12,10631
17,2019,1,2487917
17,2019,2,32590585
17,2019,3,16956759
17,2019,4,28525701
17,2019,5,9893855
17,2019,6,27951034
17,2019,7,20989478
17,2019,8,72926458
17,2019,9,79789752
17,2019,10,46011292
17,2019,11,11315709
17,2019,12,7393647
17,2020,1,42392941
17,2020,2,38993453
17,2020,3,66180171
17,2020,4,80690581
17,2020,5,63775679
17,2020,6,7058983
17,2020,7,27294379
17,2020,8,82766839
17,2020,9,72740386
17,2020,10,15345924
17,2020,11,67494563
17,2020,12,84784693
17,2021,1,75184788
17,2021,2,57352940
17,2021,3,43624390
17,2021,4,90422096
17,2021,5,13317530
17,2021,6,77231156
17,2021,7,77452860
17,2021,8,74593521
17,2021,9,93228783
17,2021,10,14082939
17,2021,11,19131434
17,2021,12,72815332
17,2022,1,71417511
17,2022,2,62452016
17,2022,3,72618080
17,2022,4,69864858
17,2022,5,5848351
17,2022,6,90086406
17,2022,7,89750775
17,2022,8,46096067
17,2022,9,86690579
17,2022,10,89657080
17,2022,11,77273911
17,2022,12,29917176
17,2023,1,94022862
17,2023,2,71136333
17,2023,3,28232934
17,2023,4,60523470
17,2023,5,55146765
17,2023,6,92345250
17,2023,7,66015245
17,2023,8,37172290
17,2023,9,96540524
17,2023,10,96602150
17,2023,11,92860060
17,2023,12,44794676
18,2019,1,95780495
18,2019,2,38756787
18,2019,3,35873469
18,2019,4,43531348
18,2019,5,79213269
18,2019,6,42403967
18,2019,7,63325393
18,2019,8,78502698
18,2019,9,68849607
18,2019,10,11431378
18,2019,11,3807376
18,2019,12,45108311
18,2020,1,53435332
18,2020,2,36609569
18,2020,3,42354304
18,2020,4,75476451
18,2020,5,67119380
18,2020,6,10937117
18,2020,7,4212685
18,2020,8,62662047
18,2020,9,23329891
18,2020,10,39143538
18,2020,11,32034051
18,2020,12,68915482
18,2021,1,65663729
18,2021,2,49188966
18,2021,3,80920748
18,2021,4,21006203
18,2021,5,54063636
18,2021,6,97068142
18,2021,7,56184440
18,2021,8,81526698
18,2021,9,38605022
18,2021,10,45858209
18,2021,11,87884527
18,2021,12,51679043
18,2022,1,43247038
18,2022,2,11463274
18,2022,3,58108925
18,2022,4,33062616
18,2022,5,57408231
18,2022,6,8731234
18,2022,7,13986602
18,2022,8,78423749
18,2022,9,29741793
18,2022,10,33176555
18,2022,11,15219778
18,2022,12,2524582
18,2023,1,19983224
18,2023,2,40578505
18,2023,3,80759600
18,2023,4,47507132
18,2023,5,85747743
18,2023,6,40414460
18,2023,7,26899695
18,2023,8,44461628
18,2023,9,33057251
18,2023,10,93220242
18,2023,11,79695328
18,2023,12,10436529
19,2019,1,983143
19,2019,2,43722616
19,2019,3,26912256
19,2019,4,59555332
19,2019,5,41925009
19,2019,6,73365768
19,2019,7,18144449
19,2019,8,23451003
19,2019,9,3214973
19,2019,10,2856864
19,2019,11,51092832
19,2019,12,95052198
19,2020,1,65263076
19,2020,2,46866717
19,2020,3,50728604
19,2020,4,49737638
19,2020,5,33416367
19,2020,6,88305802
19,2020,7,68763916
19,2020,8,46698056
19,2020,9,11380963
19,2020,10,59925662
19,2020,11,72222697
19,2020,12,37928026
19,2021,1,26101439
19,2021,2,16107038
19,2021,3,16572525
19,2021,4,5056420
19,2021,5,20584717
19,2021,6,14289568
19,2021,7,23625691
19,2021,8,59012828
19,2021,9,85366479
19,2021,10,61143482
19,2021,11,38035196
19,2021,12,88098532
19,2022,1,54640342
19,2022,2,55334352
19,2022,3,3676351
19,2022,4,94954483
19,2022,5,54697655
19,2022,6,45396685
19,2022,7,35526661
19,2022,8,30591781
19,2022,9,183242
19,2022,10,68123320
19,2022,11,60325727
19,2022,12,30464513
19,2023,1,46463766
19,2023,2,87639758
19,2023,3,41257482
19,2023,4,72717538
19,2023,5,2371859
19,2023,6,10051725
19,2023,7,3914860
19,2023,8,86356669
19,2023,9,61950243
19,2023,10,31893720
19,2023,11,15093339
19,2023,12,26148357
20,2019,1,54214
20,2019,2,559566
20,2019,3,289933
20,2019,4,271793
20,2019,5,116528
20,2019,6,398531
20,2019,7,104741
20,2019,8,127606
20,2019,9,439034
20,2019,10,277528
20,2019,11,886748
20,2019,12,117494
20,2020,1,905405
20,2020,2,275048
20,2020,3,961935
20,2020,4,907552
20,2020,5,932849
20,2020,6,223048
20,2020,7,392663
20,2020,8,941631
20,2020,9,783577
20,2020,10,36929
20,2020,11,215436
20,2020,12,379959
20,2021,1,382644
20,2021,2,838479
20,2021,3,690849
20,2021,4,717998
20,2021,5,22577
20,2021,6,335219
20,2021,7,849532
20,2021,8,291319
20,2021,9,824652
20,2021,10,270020
20,2021,11,857651
20,2021,12,444705
20,2022,1,128928
20,2022,2,132348
20,2022,3,410046
20,2022,4,986026
20,2022,5,951127
20,2022,6,442407
20,2022,7,775999
20,2022,8,11335
20,2022,9,620767
20,2022,10,559855
20,2022,11,316935
20,2022,12,567053
20,2023,1,377529
20,2023,2,552002
20,2023,3,525416
20,2023,4,744710
20,2023,5,836211
20,2023,6,977504
20,2023,7,969218
20,2023,8,263723
20,2023,9,390625
20,2023,10,513157
20,2023,11,54142
20,2023,12,390503
21,2019,1,651794
21,2019,2,512867
21,2019,3,486332
21,2019,4,960142
21,2019,5,946915
21,2019,6,641204
21,2019,7,216429
21,2019,8,207628
21,2019,9,321901
21,2019,10,845940
21,2019,11,541624
21,2019,12,907048
21,2020,1,976262
21,2020,2,528364
21,2020,3,83237
21,2020,4,719944
21,2020,5,23356
21,2020,6,899150
21,2020,7,307466
21,2020,8,920925
21,2020,9,392435
21,2020,10,748511
21,2020,11,284517
21,2020,12,242925
21,2021,1,911246
21,2021,2,444622
21,2021,3,239376
21,2021,4,736979
21,2021,5,725273
21,2021,6,226083
21,2021,7,6460
21,2021,8,446778
21,2021,9,379633
21,2021,10,397345
21,2021,11,57388
21,2021,12,108467
21,2022,1,773582
21,2022,2,933885
21,2022,3,103793
21,2022,4,153195
21,2022,5,353332
21,2022,6,662555
21,2022,7,99719
21,2022,8,476344
21,2022,9,190420
21,2022,10,220863
21,2022,11,239482
21,2022,12,376008
21,2023,1,220063
21,2023,2,88752
21,2023,3,351918
21,2023,4,822386
21,2023,5,23430
21,2023,6,740716
21,2023,7,327286
21,2023,8,673519
21,2023,9,721132
21,2023,10,191104
21,2023,11,383812
21,2023,12,302615
22,2019,1,324374
22,2019,2,399292
22,2019,3,235134
22,2019,4,273000
22,2019,5,59798
22,2019,6,880832
22,2019,7,836161
22,2019,8,751715
22,2019,9,97314
22,2019,10,817649
22,2019,11,821713
22,2019,12,728742
22,2020,1,272076
22,2020,2,118163
22,2020,3,686223
22,2020,4,218649
22,2020,5,751096
22,2020,6,434564
22,2020,7,255526
22,2020,8,218010
22,2020,9,848967
22,2020,10,140883
22,2020,11,856035
22,2020,12,517117
22,2021,1,905973
22,2021,2,214075
22,2021,3,78901
22,2021,4,206941
22,2021,5,420240
22,2021,6,140450
22,2021,7,473298
22,2021,8,318981
22,2021,9,971018
22,2021,10,932054
22,2021,11,302038
22,2021,12,750724
22,2022,1,201670
22,2022,2,806599
22,2022,3,982879
22,2022,4,243226
22,2022,5,904721
22,2022,6,283404
22,2022,7,354172
22,2022,8,148720
22,2022,9,804185
22,2022,10,228241
22,2022,11,354030
22,2022,12,256212
22,2023,1,990498
22,2023,2,158326
22,2023,3,756054
22,2023,4,608923
22,2023,5,327743
22,2023,6,218754
22,2023,7,546121
22,2023,8,241617
22,2023,9,209221
22,2023,10,972456
22,2023,11,186786
22,2023,12,675720
23,2019,1,1635878
23,2019,2,1426690
23,2019,3,9715242
23,2019,4,4495927
23,2019,5,7883521
23,2019,6,7749153
23,2019,7,2105135
23,2019,8,8221871
23,2019,9,391681
